Accuracy	Velocity	Fluidness	Date	Hour	Lesson	Keyboard
93.52	43.69	0.00	2014-11-05	17:12	01	azerty_be
93.98	42.67	0.00	2014-11-05	17:15	01	azerty_be
95.83	47.88	0.00	2014-11-05	17:42	01	azerty_be
96.76	43.14	0.00	2014-11-05	17:50	02	azerty_be
98.15	37.14	0.00	2014-11-07	17:44	03	azerty_be
93.06	42.41	0.00	2014-11-07	17:46	04	azerty_be
94.91	41.13	0.00	2014-11-07	17:47	04	azerty_be
97.22	43.80	0.00	2014-11-07	17:48	04	azerty_be
98.46	37.66	0.00	2014-11-07	17:50	05	azerty_be
98.15	37.21	0.00	2014-11-07	17:52	06	azerty_be
93.52	46.86	0.00	2014-11-08	00:02	07	azerty_be
91.67	41.57	0.00	2014-11-08	00:03	07	azerty_be
96.76	41.90	0.00	2014-11-08	00:04	07	azerty_be
97.92	20.23	0.00	2014-11-08	00:08	08	azerty_be
98.15	28.16	0.00	2014-11-08	00:12	09	azerty_be
96.30	17.97	0.00	2014-11-08	00:16	10	azerty_be
92.59	48.36	0.00	2014-11-09	16:05	11	azerty_be
93.98	49.48	0.00	2014-11-09	16:06	11	azerty_be
93.52	50.59	0.00	2014-11-09	16:07	11	azerty_be
97.69	51.91	0.00	2014-11-09	16:08	11	azerty_be
94.91	51.73	0.00	2014-11-09	16:10	12	azerty_be
96.30	50.82	0.00	2014-11-09	16:10	12	azerty_be
93.98	49.87	0.00	2014-11-09	16:12	13	azerty_be
94.44	51.84	0.00	2014-11-09	16:13	13	azerty_be
92.59	46.63	0.00	2014-11-09	16:13	13	azerty_be
96.76	48.29	0.00	2014-11-09	16:14	13	azerty_be
93.52	44.20	0.00	2014-11-09	17:04	14	azerty_be
95.83	46.02	0.00	2014-11-09	17:05	14	azerty_be
95.68	28.71	0.00	2014-11-09	17:08	15	azerty_be
98.77	38.78	0.00	2014-11-09	17:12	16	azerty_be
92.59	44.03	0.00	2014-11-09	17:13	17	azerty_be
95.37	47.51	0.00	2014-11-09	17:14	17	azerty_be
97.45	30.06	0.00	2014-11-09	17:26	18	azerty_be
98.15	35.00	0.00	2014-11-09	17:28	19	azerty_be
96.76	24.00	0.00	2014-11-09	17:34	20	azerty_be
97.69	48.28	0.00	2014-11-11	11:23	21	azerty_be
97.22	49.25	0.00	2014-11-11	11:24	22	azerty_be
97.22	48.92	0.00	2014-11-11	11:25	23	azerty_be
